,input_category,output_category,cleaned
105,Material Handling|Storage Containers|Stack and Nest Containers and Lids,Four Sided Containers and Totes,materi handl storag contain stack nest contain lid
106,Material Handling|Storage Containers|Stacking Containers and Lids,Four Sided Containers and Totes,materi handl storag contain stack contain lid
107,Material Handling|Storage Containers|Storage Tubs,Four Sided Containers and Totes,materi handl storag contain storag tub
108,"Material Handling|Storage Containers|Straight Wall Containers, Lids and Accessories",Four Sided Containers and Totes,materi handl storag contain straight wall contain lid accessori
109,Material Handling|Storage Containers|Totes and Lids,Four Sided Containers and Totes,materi handl storag contain tote lid
110,Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Circuit Protection Device Accessories,Fuse Accessories,electr power manag circuit protect distribut fuse accessori circuit protect devic accessori
111,Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Circuit Protection Devices,Fuse Accessories,electr power manag circuit protect distribut fuse accessori circuit protect devic
112,Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Block Accessories,Fuse Accessories,electr power manag circuit protect distribut fuse accessori fuse block accessori
113,Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Block Covers,Fuse Accessories,electr power manag circuit protect distribut fuse accessori fuse block cover
114,Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Blocks and Holders,Fuse Accessories,electr power manag circuit protect distribut fuse accessori fuse block holder
115,Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Cabinet,Fuse Accessories,electr power manag circuit protect distribut fuse accessori fuse cabinet
116,Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Clips,Fuse Accessories,electr power manag circuit protect distribut fuse accessori fuse clip
117,Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Links,Fuse Accessories,electr power manag circuit protect distribut fuse accessori fuse link
118,Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Reducers,Fuse Accessories,electr power manag circuit protect distribut fuse accessori fuse reduc
119,Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Plug Fuse Box Cover Units,Fuse Accessories,electr power manag circuit protect distribut fuse accessori plug fuse box cover unit
120,"Tools|Axes, Hatchets, and Splitting Wedges",Hammers and Striking Tools,tool axe hatchet split wedg
121,Tools|Ball Pein Hammers,Hammers and Striking Tools,tool ball pein hammer
122,Tools|Claw/Rip/Framing Hammers,Hammers and Striking Tools,tool claw rip frame hammer
123,Tools|Dead Blow Hammers,Hammers and Striking Tools,tool dead blow hammer
124,Tools|Engineer/Drilling/Blacksmith Hammers,Hammers and Striking Tools,tool engin drill blacksmith hammer
125,Tools|Hammer Tips and Heads,Hammers and Striking Tools,tool hammer tip head
126,Tools|Mallets,Hammers and Striking Tools,tool mallet
127,Tools|Picks and Riveting/Chipping Hammers,Hammers and Striking Tools,tool pick rivet chip hammer
128,Tools|Sledgehammers,Hammers and Striking Tools,tool sledgehamm
129,Tools|Soft Face and Split Head Hammers,Hammers and Striking Tools,tool soft face split head hammer
130,Janitorial & Facility|Facility Dispensers|Hand Sanitizer  Lotion & Soap Dispensers,Hand Soap and Dispensers,janitori facil facil dispens hand sanit lotion soap dispens
131,Janitorial & Facility|Personal Care|Antimicrobial & Antibacterial Soap,Hand Soap and Dispensers,janitori facil person care antimicrobi antibacteri soap
132,Janitorial & Facility|Personal Care|Bar Soap,Hand Soap and Dispensers,janitori facil person care bar soap
133,Janitorial & Facility|Personal Care|Hand Cleaners,Hand Soap and Dispensers,janitori facil person care hand cleaner
134,Janitorial & Facility|Personal Care|Liquid Soap,Hand Soap and Dispensers,janitori facil person care liquid soap
135,Janitorial & Facility|Personal Care|Pumice & Powdered Soap,Hand Soap and Dispensers,janitori facil person care pumic powder soap
136,Janitorial & Facility|Restroom Equipment|Hand Sanitizer  Lotion & Soap Dispensers,Hand Soap and Dispensers,janitori facil restroom equip hand sanit lotion soap dispens
137,Cleaning and Janitorial|Hand and Personal Care|Hand Care|Hand Soap,Hand Soap and Dispensers,clean janitori hand person care hand care hand soap
138,Cleaning and Janitorial|Hand and Personal Care|Hand Care|Hand Soap Dispenser Accessories,Hand Soap and Dispensers,clean janitori hand person care hand care hand soap dispens accessori
139,Cleaning and Janitorial|Hand and Personal Care|Hand Care|Hand Soap Dispensers,Hand Soap and Dispensers,clean janitori hand person care hand care hand soap dispens
140,Safety|Head Protection|Cold Weather Headwear and Liners,Head Protection Accessories,safeti head protect cold weather headwear liner
141,Safety|Head Protection|Hard Hat Accessories,Head Protection Accessories,safeti head protect hard hat accessori
142,Safety|Head Protection|Hard Hat Chin Straps,Head Protection Accessories,safeti head protect hard hat chin strap
143,Safety|Head Protection|Hard Hat Cooling Products,Head Protection Accessories,safeti head protect hard hat cool product
144,Safety|Head Protection|Hard Hat Eyewear,Head Protection Accessories,safeti head protect hard hat eyewear
145,Safety|Head Protection|Hard Hat Faceshield Mounting Accessories,Head Protection Accessories,safeti head protect hard hat faceshield mount accessori
146,Safety|Head Protection|Hard Hat Faceshields,Head Protection Accessories,safeti head protect hard hat faceshield
147,Safety|Head Protection|Hard Hat Labels,Head Protection Accessories,safeti head protect hard hat label
148,Safety|Head Protection|Hard Hat Racks,Head Protection Accessories,safeti head protect hard hat rack
149,Safety|Head Protection|Headlamps,Head Protection Accessories,safeti head protect headlamp
150,Tools|Drills and Drivers|Air Impact Wrenches,Impact Wrenches and Accessories,tool drill driver air impact wrench
151,Tools|Wrenches|Air Impact Wrenches,Impact Wrenches and Accessories,tool wrench air impact wrench
152,Tools|Drills and Drivers|Cordless Impact Wrenches,Impact Wrenches and Accessories,tool drill driver cordless impact wrench
153,Tools|Wrenches|Cordless Impact Wrenches,Impact Wrenches and Accessories,tool wrench cordless impact wrench
154,Tools|Drills and Drivers|Electric Impact Wrench Accessories,Impact Wrenches and Accessories,tool drill driver electr impact wrench accessori
155,Tools|Wrenches|Electric Impact Wrench Accessories,Impact Wrenches and Accessories,tool wrench electr impact wrench accessori
156,Tools|Drills and Drivers|Electric Impact Wrenches,Impact Wrenches and Accessories,tool drill driver electr impact wrench
157,Tools|Wrenches|Electric Impact Wrenches,Impact Wrenches and Accessories,tool wrench electr impact wrench
158,Tools|Drills and Drivers|Hydraulic Impact Wrenches,Impact Wrenches and Accessories,tool drill driver hydraul impact wrench
159,Tools|Wrenches|Hydraulic Impact Wrenches,Impact Wrenches and Accessories,tool wrench hydraul impact wrench
160,Lab Supplies|Lab Cabinets,Lab Furniture,lab suppli lab cabinet
161,Lab Supplies|Lab Furniture Accessories,Lab Furniture,lab suppli lab furnitur accessori
162,Lab Supplies|Lab Gas Fittings,Lab Furniture,lab suppli lab gas fit
163,Lab Supplies|Lab Gas Hoses,Lab Furniture,lab suppli lab gas hose
164,Lab Supplies|Lab Gas Valves,Lab Furniture,lab suppli lab gas valv
165,Lab Supplies|Lab Service Panels,Lab Furniture,lab suppli lab servic panel
166,Lab Supplies|Lab Shelving,Lab Furniture,lab suppli lab shelv
167,Lab Supplies|Lab Tables,Lab Furniture,lab suppli lab tabl
168,Lab Supplies|Lab Workbenches,Lab Furniture,lab suppli lab workbench
169,Lab Supplies|Warming Cabinets,Lab Furniture,lab suppli warm cabinet
170,"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Limit / Interlock Switches",Limit and Snap Action Switches,electr industri control autom machin safeti sensor limit switch snap action switch limit interlock switch
171,"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Limit Switch Accessories",Limit and Snap Action Switches,electr industri control autom machin safeti sensor limit switch snap action switch limit switch accessori
172,"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Limit Switch Arms and Actuators",Limit and Snap Action Switches,electr industri control autom machin safeti sensor limit switch snap action switch limit switch arm actuat
173,"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Limit Switch Body and Contacts",Limit and Snap Action Switches,electr industri control autom machin safeti sensor limit switch snap action switch limit switch bodi contact
174,"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Limit Switch Heads",Limit and Snap Action Switches,electr industri control autom machin safeti sensor limit switch snap action switch limit switch head
175,"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Limit Switch Receptacles",Limit and Snap Action Switches,electr industri control autom machin safeti sensor limit switch snap action switch limit switch receptacl
176,"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Safety Interlock Switches",Limit and Snap Action Switches,electr industri control autom machin safeti sensor limit switch snap action switch safeti interlock switch
177,"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Snap Action Switches",Limit and Snap Action Switches,electr industri control autom machin safeti sensor limit switch snap action switch snap action switch
178,"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Wireless Limit Switch Accessories",Limit and Snap Action Switches,electr industri control autom machin safeti sensor limit switch snap action switch wireless limit switch accessori
179,"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Wireless Limit Switches",Limit and Snap Action Switches,electr industri control autom machin safeti sensor limit switch snap action switch wireless limit switch
180,"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Cable Pull Switch Accessories",Machine Safety Switching,electr industri control autom machin safeti machin safeti mat switch cabl pull switch accessori
181,"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Cable Pull Switches",Machine Safety Switching,electr industri control autom machin safeti machin safeti mat switch cabl pull switch
182,"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Door Switches",Machine Safety Switching,electr industri control autom machin safeti machin safeti mat switch door switch
183,"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Hazardous Location Cable Pull Switches",Machine Safety Switching,electr industri control autom machin safeti machin safeti mat switch hazard locat cabl pull switch
184,"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Hinged Safety Interlock Switches",Machine Safety Switching,electr industri control autom machin safeti machin safeti mat switch hing safeti interlock switch
185,"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Light Curtain Resource Modules and Accessories",Machine Safety Switching,electr industri control autom machin safeti machin safeti mat switch light curtain resourc modul accessori
186,"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Light Curtains",Machine Safety Switching,electr industri control autom machin safeti machin safeti mat switch light curtain
187,"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Magnetic Safety Interlock Switch Accessories",Machine Safety Switching,electr industri control autom machin safeti machin safeti mat switch magnet safeti interlock switch accessori
188,"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Magnetically Actuated Safety Interlock Switches",Machine Safety Switching,electr industri control autom machin safeti machin safeti mat switch magnet actuat safeti interlock switch
189,"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Safety Interlock Switch Accessories",Machine Safety Switching,electr industri control autom machin safeti machin safeti mat switch safeti interlock switch accessori
190,Abrasives|Abrasive Accessories|Tack Cloths,Paint and Wallpaper Tools,abras abras accessori tack cloth
191,"Paint, Equipment and Supplies|Paint Shields and Trim Guides",Paint and Wallpaper Tools,paint equip suppli paint shield trim guid
192,Janitorial & Facility|Paints  Equipment & Supplies|Paint & Wallpaper Tools|Paint Brush & Roller Cleaning Tools,Paint and Wallpaper Tools,janitori facil paint equip suppli paint wallpap tool paint brush roller clean tool
193,"Paint, Equipment and Supplies|Paint Strainers",Paint and Wallpaper Tools,paint equip suppli paint strainer
194,Janitorial & Facility|Paints  Equipment & Supplies|Paint & Wallpaper Tools|Painting & Finishing Tools,Paint and Wallpaper Tools,janitori facil paint equip suppli paint wallpap tool paint finish tool
195,"Paint, Equipment and Supplies|Paint Tools Washing System Accessories",Paint and Wallpaper Tools,paint equip suppli paint tool wash system accessori
196,"Paint, Equipment and Supplies|Paint Tools Washing Systems",Paint and Wallpaper Tools,paint equip suppli paint tool wash system
197,"Paint, Equipment and Supplies|Painting and Finishing Tools",Paint and Wallpaper Tools,paint equip suppli paint finish tool
198,"Paint, Equipment and Supplies|Wallpaper Steamers",Paint and Wallpaper Tools,paint equip suppli wallpap steamer
199,"Paint, Equipment and Supplies|Wallpaper Tools",Paint and Wallpaper Tools,paint equip suppli wallpap tool
200,Fasteners|Clevis Pins,Pins,fasten clevi pin
201,Fasteners|Cotter Pins,Pins,fasten cotter pin
202,Fasteners|Dowel Pins,Pins,fasten dowel pin
203,Fasteners|Grooved Pins,Pins,fasten groov pin
204,Fasteners|Hitch Pins,Pins,fasten hitch pin
205,Fasteners|Lynch Pins,Pins,fasten lynch pin
206,Fasteners|Pin Assortments,Pins,fasten pin assort
207,Fasteners|Safety Pins,Pins,fasten safeti pin
208,Fasteners|Spring Pins,Pins,fasten spring pin
209,Fasteners|Taper Pins,Pins,fasten taper pin
210,Tools|Bearing Splitters,Pryers and Pullers,tool bear splitter
211,Tools|Fence Stretching Tools,Pryers and Pullers,tool fenc stretch tool
212,Tools|Flange and Set-Up Wedges,Pryers and Pullers,tool flang set up wedg
213,"Tools|Nail Pullers, Wrecking and Pry Bars",Pryers and Pullers,tool nail puller wreck pri bar
214,Tools|Puller Accessories,Pryers and Pullers,tool puller accessori
215,Tools|Puller and Separator Sets,Pryers and Pullers,tool puller separ set
216,Tools|Pullers and Separators,Pryers and Pullers,tool puller separ
217,Tools|Push-Pullers,Pryers and Pullers,tool push puller
218,Tools|Shaft And Step Plate Adapters,Pryers and Pullers,tool shaft and step plate adapt
219,Tools|Slide Hammers,Pryers and Pullers,tool slide hammer
220,Commercial & Industrial|Horticulture & Greenhouse|Lawn & Garden Tools,Rakes and Cultivating Tools,commerci industri horticultur greenhous lawn garden tool
221,Outdoor Equipment|Agricultural and Garden Forks,Rakes and Cultivating Tools,outdoor equip agricultur garden fork
222,Outdoor Equipment|Aquatic Weed Control Rakes,Rakes and Cultivating Tools,outdoor equip aquat weed control rake
223,Outdoor Equipment|Cultivators and Tillers,Rakes and Cultivating Tools,outdoor equip cultiv tiller
224,Outdoor Equipment|Garden Hoes,Rakes and Cultivating Tools,outdoor equip garden hoe
225,Outdoor Equipment|Garden Trowels,Rakes and Cultivating Tools,outdoor equip garden trowel
226,Outdoor Equipment|Hand Cultivators,Rakes and Cultivating Tools,outdoor equip hand cultiv
227,Outdoor Equipment|Landscape and Bow Rakes,Rakes and Cultivating Tools,outdoor equip landscap bow rake
228,Outdoor Equipment|Rakes,Rakes and Cultivating Tools,outdoor equip rake
229,Outdoor Equipment|Road and Asphalt Rakes,Rakes and Cultivating Tools,outdoor equip road asphalt rake
230,Electrical|Power Management - Circuit Protection and Distribution|Air Conditioner Disconnects,"Safety Switches, Panel and Door Disconnects",electr power manag circuit protect distribut air condition disconnect
