input_category,output_category
"Office Supplies|Hanging File Folders","File Folders and Boxes"
"Furniture, Hospitality and Food Service|Carpet Tile",Flooring
"Furniture, Hospitality and Food Service|Engineered Hardwood Flooring",Flooring
"Furniture, Hospitality and Food Service|Vinyl Floor Tile",Flooring
"Furniture, Hospitality and Food Service|Vinyl Plank Flooring",Flooring
"Furniture, Hospitality and Food Service|Wall Base",Flooring
"Furniture, Hospitality and Food Service|Food Service and Food Processing|Bench and Hand Scrapers","Food Processing"
"Furniture, Hospitality and Food Service|Food Service and Food Processing|Food Processing Forks","Food Processing"
"Furniture, Hospitality and Food Service|Food Service and Food Processing|Hand and Bowl Scoops","Food Processing"
"Furniture, Hospitality and Food Service|Food Service and Food Processing|Hygienic Shovels","Food Processing"
"Furniture, Hospitality and Food Service|Food Service and Food Processing|Mixing Paddles","Food Processing"
"Fasteners|Threaded Rods and Studs|Aluminum Fully Threaded Rods and Studs","Fully Threaded Rods and Studs"
"Fasteners|Threaded Rods and Studs|Brass Fully Threaded Rods and Studs","Fully Threaded Rods and Studs"
"Fasteners|Threaded Rods and Studs|Plastic Fully Threaded Rods and Studs","Fully Threaded Rods and Studs"
"Fasteners|Threaded Rods and Studs|Stainless Steel Fully Threaded Rods and Studs","Fully Threaded Rods and Studs"
"Fasteners|Threaded Rods and Studs|Steel Fully Threaded Rods and Studs","Fully Threaded Rods and Studs"
"Tools|Grinding, Sanding, and Finishing Tools|Angle Grinders",Grinders
"Tools|Grinding, Sanding, and Finishing Tools|Concrete and Masonry Grinders and Planers",Grinders
"Tools|Grinding, Sanding, and Finishing Tools|Cordless Cutoff Tools",Grinders
"Tools|Grinding, Sanding, and Finishing Tools|Die Grinders",Grinders
"Tools|Grinding, Sanding, and Finishing Tools|Tool Post Grinders",Grinders
"Material Handling|Carts and Trucks|Chute Hoppers","Hoppers and Cube Trucks"
"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Trash and Recycling Containers|Chute Hoppers","Hoppers and Cube Trucks"
"Material Handling|Carts and Trucks|Hopper Tubs and Accessories","Hoppers and Cube Trucks"
"Material Handling|Carts and Trucks|Self Dumping Hoppers and Lids","Hoppers and Cube Trucks"
"Material Handling|Carts and Trucks|Tilt Trucks and Accessories","Hoppers and Cube Trucks"
"Safety|Identification Products|Customizable Tags","Identification Tags"
"Safety|Identification Products|Engraved Tags","Identification Tags"
"Safety|Identification Products|Inspection Tags","Identification Tags"
"Safety|Identification Products|OSHA Safety Tags","Identification Tags"
"Safety|Identification Products|Repair and Maintenance Tags","Identification Tags"
"Tools|Ratchets and Sockets|Impact Socket Accessories","Impact Sockets and Bits"
"Tools|Ratchets and Sockets|Impact Socket Bit Drivers","Impact Sockets and Bits"
"Tools|Ratchets and Sockets|Impact Socket Bits and Sets","Impact Sockets and Bits"
"Tools|Ratchets and Sockets|Impact Socket Sets","Impact Sockets and Bits"
"Tools|Ratchets and Sockets|Impact Sockets","Impact Sockets and Bits"
"Test Instruments|Temperature and Humidity Measuring|Fixed Location Infrared Cameras","Infrared Cameras and Thermometers"
"Test Instruments|Temperature and Humidity Measuring|Infrared Cameras","Infrared Cameras and Thermometers"
"Test Instruments|Temperature and Humidity Measuring|Infrared Cameras for Smart Phones","Infrared Cameras and Thermometers"
"Test Instruments|Temperature and Humidity Measuring|Infrared Thermometers","Infrared Cameras and Thermometers"
"Test Instruments|Temperature and Humidity Measuring|Infrared Visual Thermometers","Infrared Cameras and Thermometers"
"Lighting|Portable & Temporary Lighting|Portable Lamp Guards","Job Site Lighting"
"Lighting|Portable & Temporary Lighting|Work Lights","Job Site Lighting"
"Lighting|Cordless Tool Job Site Lights","Job Site Lighting"
"Lighting|Temporary Job Site Lighting Accessories","Job Site Lighting"
"Lighting|Temporary Job Site Lights","Job Site Lighting"
"Fasteners|Key Stock","Key Stock"
"Fasteners|Key Stock Assortments","Key Stock"
"Fasteners|Machine Key","Key Stock"
"Fasteners|Step Key Stock","Key Stock"
"Fasteners|Woodruff Key Stock","Key Stock"
"Lab Supplies|Cell Research Equipment Accessories","Lab Diagnostics"
"Lab Supplies|Cryogenic Supplies","Lab Diagnostics"
"Lab Supplies|Detection Reagents","Lab Diagnostics"
"Lab Supplies|Drug and Alcohol Test Kits","Lab Diagnostics"
"Lab Supplies|Histology","Lab Diagnostics"
"Lab Supplies|Dippers","Lab Utensils"
"Lab Supplies|Lab Brushes","Lab Utensils"
"Lab Supplies|Lab Scoops, Scrapers, and Spoons","Lab Utensils"
"Lab Supplies|Lab Tongs and Forceps","Lab Utensils"
"Lab Supplies|Stir Bars","Lab Utensils"
"Safety & Security|Electrical Labels & Signs|Label Cartridges","Label Makers, Printers and Supplies"
"Safety|Identification Products|Desktop Label Makers and Printers","Label Makers, Printers and Supplies"
"Safety|Identification Products|Label Maker Accessories","Label Makers, Printers and Supplies"
"Safety|Identification Products|Label Maker Cable and Wire Markers","Label Makers, Printers and Supplies"
"Safety|Identification Products|Portable Label Makers and Printers","Label Makers, Printers and Supplies"
"Outdoor Equipment|Drag Harrows","Lawn Mower Attachments"
"Outdoor Equipment|Lawn Aerators","Lawn Mower Attachments"
"Outdoor Equipment|Lawn Dethatchers","Lawn Mower Attachments"
"Outdoor Equipment|Lawn Rollers","Lawn Mower Attachments"
"Outdoor Equipment|Lawn Sweepers","Lawn Mower Attachments"
"Plumbing|Full-View Sight Flow Indicators","Liquid Level Gauges and Sight Indicators"
"Plumbing|Gauge Cocks","Liquid Level Gauges and Sight Indicators"
"Plumbing|Gauge Glass and Rod Kits","Liquid Level Gauges and Sight Indicators"
"Plumbing|Water Gauges","Liquid Level Gauges and Sight Indicators"
"Plumbing|Window Sight Flow Indicators","Liquid Level Gauges and Sight Indicators"
"Machining|Machinery|Digital Readouts","Machine Accessories"
"Machining|Machinery|Machine Guards","Machine Accessories"
"Machining|Machinery|Machine Stands","Machine Accessories"
"Machining|Machinery|Machining Tables","Machine Accessories"
"Machining|Machinery|Magnetic Chucks","Machine Accessories"
"Hardware|Alnico Magnets","Magnets and Magnetic Strips"
"Hardware|Ceramic Magnets","Magnets and Magnetic Strips"
"Hardware|Flexible Magnets","Magnets and Magnetic Strips"
"Hardware|Magnet Accessories","Magnets and Magnetic Strips"
"Hardware|Rare Earth Magnets","Magnets and Magnetic Strips"
"Security|Mailbox Accessories",Mailboxes
"Security|Mailbox Enclosures",Mailboxes
"Security|Mailbox Locks and Doors",Mailboxes
"Security|Mailbox Posts",Mailboxes
Security|Mailboxes,Mailboxes
"Tools|Cordless Rebar Tying Tools","Masonry, Concrete and Tile Tools"
"Tools|Deck and Floor Scrapers","Masonry, Concrete and Tile Tools"
"Tools|Linoleum and Vinyl Flooring Tools","Masonry, Concrete and Tile Tools"
"Tools|Rebar Cutters and Benders","Masonry, Concrete and Tile Tools"
"Tools|Rebar Tie Wire","Masonry, Concrete and Tile Tools"
"Drives|AC Drive (VFD) Spare...|DURApulse - GS4 Conduit Boxes and Flange Mounting Kits","Motor Mounting Supplies"
"Motors|Motor Supplies|Motor Mount Adapters","Motor Mounting Supplies"
"Motors|Motor Supplies|Motor Mounting Bases","Motor Mounting Supplies"
"Motors|Motor Supplies|Motor Mounting Brackets","Motor Mounting Supplies"
"Motors|Motor Supplies|Motor Mounting Rings","Motor Mounting Supplies"
"Hardware|Backup Rings","O-Rings and O-Ring Kits"
"Hardware|O-Ring Accessories","O-Rings and O-Ring Kits"
"Hardware|O-Ring Kits","O-Rings and O-Ring Kits"
"Hardware|O-Ring Splicing Kits","O-Rings and O-Ring Kits"
Hardware|O-Rings,"O-Rings and O-Ring Kits"
"Chemicals|Odor Control|Surface and Air Deodorants","Odor Control"
"Janitorial & Facility|Facility Dispensers|Air Freshener Dispensers","Odor Control"
"Janitorial & Facility|Restroom Equipment|Air Freshener Dispensers","Odor Control"
"Cleaning and Janitorial|Cleaning Chemicals|Air Freshener and Odor Eliminator Dispensers","Odor Control"
"Cleaning and Janitorial|Cleaning Chemicals|Air Freshener and Odor Eliminators","Odor Control"
"Furniture, Hospitality and Food Service|Furniture|Office Furniture|Arm, Back, and Foot Rests","Office Seating"
"Furniture, Hospitality and Food Service|Furniture|Office Furniture|Chair Mats","Office Seating"
"Furniture, Hospitality and Food Service|Furniture|Office Furniture|Office, Drafting, and Task Chairs","Office Seating"
"Furniture, Hospitality and Food Service|Furniture|Office Furniture|Reception Area Furniture","Office Seating"
"Furniture, Hospitality and Food Service|Furniture|Office Furniture|Task Chair Accessories","Office Seating"
"Hydraulics|Forced Air Oil Coolers","Oil Coolers"
"Hydraulics|Hydraulic Motor Oil Coolers","Oil Coolers"
"Hydraulics|Mobile Oil Coolers","Oil Coolers"
"Hydraulics|Offline Forced Air Oil Coolers","Oil Coolers"
"Hydraulics|Water Cooled Oil Coolers","Oil Coolers"
"Lubricants & Coolants|Oils|Gear Oil",Oils
"Lubricants & Coolants|Oils|Machine Oil",Oils
"Lubrication|Gear Oils",Oils
"Lubrication|Hydraulic Oils",Oils
"Lubrication|Machine Oils",Oils
"Material Handling|Packaging and Shipping|Packaging Tape Hand Held Dispensers","Packaging Tape Dispensers and Equipment"
"Material Handling|Packaging and Shipping|Packaging Tape Machines","Packaging Tape Dispensers and Equipment"
"Material Handling|Packaging and Shipping|Packaging Tapes","Packaging Tape Dispensers and Equipment"
"Material Handling|Packaging and Shipping|Shipping Label and Tape Dispensers","Packaging Tape Dispensers and Equipment"
"Material Handling|Packaging and Shipping|Tape Machine and Dispenser Accessories","Packaging Tape Dispensers and Equipment"
"Janitorial & Facility|Paints  Equipment & Supplies|Paint Mixers  Shakers & Accessories|Mud & Paint Mixer Attachments","Paint Mixers, Shakers, and Accessories"
"Paint, Equipment and Supplies|Mud and Paint Mixer Attachments","Paint Mixers, Shakers, and Accessories"
"Paint, Equipment and Supplies|Paint Mixers","Paint Mixers, Shakers, and Accessories"
"Paint, Equipment and Supplies|Paint Shaker Accessories","Paint Mixers, Shakers, and Accessories"
"Paint, Equipment and Supplies|Paint Shakers","Paint Mixers, Shakers, and Accessories"
"Material Handling|Pallet Jack Rollers, Wheels and Accessories","Pallet Jacks and Pallet Moving Equipment"
"Material Handling|Pallet Jacks","Pallet Jacks and Pallet Moving Equipment"
"Material Handling|Pallet Lifters and Tilters","Pallet Jacks and Pallet Moving Equipment"
"Material Handling|Pallet Positioners and Level Loaders","Pallet Jacks and Pallet Moving Equipment"
"Material Handling|Pallet Rotaters and Inventors","Pallet Jacks and Pallet Moving Equipment"
"Material Handling|Ladders, Platforms and Scaffolding|Personnel Lift Accessories","Personnel Lifts, Scaffolding and Accessories"
"Material Handling|Ladders, Platforms and Scaffolding|Personnel Lifts","Personnel Lifts, Scaffolding and Accessories"
"Material Handling|Ladders, Platforms and Scaffolding|Scaffolding","Personnel Lifts, Scaffolding and Accessories"
"Material Handling|Ladders, Platforms and Scaffolding|Scaffolding Stages","Personnel Lifts, Scaffolding and Accessories"
"Material Handling|Ladders, Platforms and Scaffolding|Scaffolding and Platform Accessories","Personnel Lifts, Scaffolding and Accessories"
"Tools|Jointer and Joiner Accessories","Planers, Jointers, and Joiners"
Tools|Jointers,"Planers, Jointers, and Joiners"
"Tools|Planer Accessories","Planers, Jointers, and Joiners"
"Tools|Planes and Shaving Tools","Planers, Jointers, and Joiners"
"Tools|Plate Joiners","Planers, Jointers, and Joiners"
"Test Instruments|Pressure and Vacuum Measuring|Indicating Transmitters","Pressure and Vacuum Transmitters"
"Test Instruments|Pressure and Vacuum Measuring|Liquid Level Transmitter Displays","Pressure and Vacuum Transmitters"
"Test Instruments|Pressure and Vacuum Measuring|Pressure and Vacuum Transmitters","Pressure and Vacuum Transmitters"
"Test Instruments|Pressure and Vacuum Measuring|Submersible Level Transmitter Accessories","Pressure and Vacuum Transmitters"
"Test Instruments|Pressure and Vacuum Measuring|Submersible Level Transmitters","Pressure and Vacuum Transmitters"
"Test Instruments|Pressure and Vacuum Measuring|Digital Pressure Meter Transducers","Pressure Meters and Manometers"
"Test Instruments|Pressure and Vacuum Measuring|Digital Pressure Meters","Pressure Meters and Manometers"
"Test Instruments|Pressure and Vacuum Measuring|Manometer Accessories","Pressure Meters and Manometers"
"Test Instruments|Pressure and Vacuum Measuring|Manometers","Pressure Meters and Manometers"
"Test Instruments|Pressure and Vacuum Measuring|Micromanometers","Pressure Meters and Manometers"
"Outdoor Equipment|Pressure Washer Detergents","Pressure Washers and Steam Cleaners"
"Outdoor Equipment|Pressure Washer Surface Cleaners and Water Brooms","Pressure Washers and Steam Cleaners"
"Outdoor Equipment|Pressure Washers","Pressure Washers and Steam Cleaners"
"Outdoor Equipment|Steam Cleaner Attachments","Pressure Washers and Steam Cleaners"
"Outdoor Equipment|Steam Cleaners","Pressure Washers and Steam Cleaners"
"Material Handling|Shelving and Storage Racks|Conduit, Wire, Cable Racks and Stands",Racks
"Material Handling|Shelving and Storage Racks|Cylinder Racks",Racks
"Material Handling|Shelving and Storage Racks|Dunnage Racks",Racks
"Material Handling|Shelving and Storage Racks|Stack Racks",Racks
"Material Handling|Shelving and Storage Racks|Tire Racks",Racks
"Tools|Saws and Accessories|Corded Reciprocating Saws","Reciprocating Saws and Accessories"
"Tools|Saws and Accessories|Cordless Reciprocating Saws","Reciprocating Saws and Accessories"
"Tools|Saws and Accessories|Power Hacksaw Accessories","Reciprocating Saws and Accessories"
"Tools|Saws and Accessories|Power Hacksaws","Reciprocating Saws and Accessories"
"Tools|Saws and Accessories|Reciprocating Saw Accessories","Reciprocating Saws and Accessories"
"Power Transmission|Power Transmission Chains and Sprockets|Fixed Bore","Roller Chain Sprockets"
"Power Transmission|Power Transmission Chains and Sprockets|Plain Bore","Roller Chain Sprockets"
"Power Transmission|Power Transmission Chains and Sprockets|Quick Detachable Bushed Bore","Roller Chain Sprockets"
"Power Transmission|Power Transmission Chains and Sprockets|Split Taper Bushed Bore","Roller Chain Sprockets"
"Power Transmission|Power Transmission Chains and Sprockets|Taper-Lock(R) Bushed Bore","Roller Chain Sprockets"
"Pumps|Roller Pumps","Rotary Pumps"
