input_category,output_category
"Safety|Medical Swabs and Applicators","Emergency and Exam Room Supplies"
"Safety|Medical Thermometers","Emergency and Exam Room Supplies"
"Safety|Tongue Depressors","Emergency and Exam Room Supplies"
"Janitorial & Facility|Equipment|Floor Buffer  Polisher & Scrubber Acc.","Floor Polishers, Burnishers, Scrubbers, and Accessories"
"Janitorial & Facility|Equipment|Floor Buffers  Polishers & Scrubbers","Floor Polishers, Burnishers, Scrubbers, and Accessories"
"Cleaning and Janitorial|Floor Cleaning Machines|Concrete Preparation Tools","Floor Polishers, Burnishers, Scrubbers, and Accessories"
"Cleaning and Janitorial|Floor Cleaning Machines|Floor Burnishers","Floor Polishers, Burnishers, Scrubbers, and Accessories"
"Cleaning and Janitorial|Floor Cleaning Machines|Floor Machine Accessories","Floor Polishers, Burnishers, Scrubbers, and Accessories"
"Cleaning and Janitorial|Floor Cleaning Machines|Floor Machine Pads","Floor Polishers, Burnishers, Scrubbers, and Accessories"
"Cleaning and Janitorial|Floor Cleaning Machines|Floor Polishers and Scrubbers","Floor Polishers, Burnishers, Scrubbers, and Accessories"
"Cleaning and Janitorial|Floor Cleaning Machines|Pad Drivers and Accessories","Floor Polishers, Burnishers, Scrubbers, and Accessories"
"Cleaning and Janitorial|Floor Cleaning Machines|Rotary Brushes","Floor Polishers, Burnishers, Scrubbers, and Accessories"
"Cleaning and Janitorial|Floor Cleaning Machines|Walk Behind and Rider Floor Scrubbers","Floor Polishers, Burnishers, Scrubbers, and Accessories"
"Material Handling|Storage Containers|Attached Lid Containers","Four Sided Containers and Totes"
"Material Handling|Storage Containers|Corrugated Containers and Lids","Four Sided Containers and Totes"
"Material Handling|Storage Containers|Divider Boxes and Accessories","Four Sided Containers and Totes"
"Material Handling|Storage Containers|Nesting Containers and Lids","Four Sided Containers and Totes"
"Material Handling|Storage Containers|Property Storage Containers","Four Sided Containers and Totes"
"Material Handling|Storage Containers|Stack and Nest Containers and Lids","Four Sided Containers and Totes"
"Material Handling|Storage Containers|Stacking Containers and Lids","Four Sided Containers and Totes"
"Material Handling|Storage Containers|Storage Tubs","Four Sided Containers and Totes"
"Material Handling|Storage Containers|Straight Wall Containers, Lids and Accessories","Four Sided Containers and Totes"
"Material Handling|Storage Containers|Totes and Lids","Four Sided Containers and Totes"
"Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Circuit Protection Device Accessories","Fuse Accessories"
"Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Circuit Protection Devices","Fuse Accessories"
"Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Block Accessories","Fuse Accessories"
"Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Block Covers","Fuse Accessories"
"Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Blocks and Holders","Fuse Accessories"
"Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Cabinet","Fuse Accessories"
"Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Clips","Fuse Accessories"
"Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Links","Fuse Accessories"
"Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Fuse Reducers","Fuse Accessories"
"Electrical|Power Management - Circuit Protection and Distribution|Fuses and Accessories|Plug Fuse Box Cover Units","Fuse Accessories"
"Tools|Axes, Hatchets, and Splitting Wedges","Hammers and Striking Tools"
"Tools|Ball Pein Hammers","Hammers and Striking Tools"
"Tools|Claw/Rip/Framing Hammers","Hammers and Striking Tools"
"Tools|Dead Blow Hammers","Hammers and Striking Tools"
"Tools|Engineer/Drilling/Blacksmith Hammers","Hammers and Striking Tools"
"Tools|Hammer Tips and Heads","Hammers and Striking Tools"
Tools|Mallets,"Hammers and Striking Tools"
"Tools|Picks and Riveting/Chipping Hammers","Hammers and Striking Tools"
Tools|Sledgehammers,"Hammers and Striking Tools"
"Tools|Soft Face and Split Head Hammers","Hammers and Striking Tools"
"Janitorial & Facility|Facility Dispensers|Hand Sanitizer  Lotion & Soap Dispensers","Hand Soap and Dispensers"
"Janitorial & Facility|Personal Care|Antimicrobial & Antibacterial Soap","Hand Soap and Dispensers"
"Janitorial & Facility|Personal Care|Bar Soap","Hand Soap and Dispensers"
"Janitorial & Facility|Personal Care|Hand Cleaners","Hand Soap and Dispensers"
"Janitorial & Facility|Personal Care|Liquid Soap","Hand Soap and Dispensers"
"Janitorial & Facility|Personal Care|Pumice & Powdered Soap","Hand Soap and Dispensers"
"Janitorial & Facility|Restroom Equipment|Hand Sanitizer  Lotion & Soap Dispensers","Hand Soap and Dispensers"
"Cleaning and Janitorial|Hand and Personal Care|Hand Care|Hand Soap","Hand Soap and Dispensers"
"Cleaning and Janitorial|Hand and Personal Care|Hand Care|Hand Soap Dispenser Accessories","Hand Soap and Dispensers"
"Cleaning and Janitorial|Hand and Personal Care|Hand Care|Hand Soap Dispensers","Hand Soap and Dispensers"
"Safety|Head Protection|Cold Weather Headwear and Liners","Head Protection Accessories"
"Safety|Head Protection|Hard Hat Accessories","Head Protection Accessories"
"Safety|Head Protection|Hard Hat Chin Straps","Head Protection Accessories"
"Safety|Head Protection|Hard Hat Cooling Products","Head Protection Accessories"
"Safety|Head Protection|Hard Hat Eyewear","Head Protection Accessories"
"Safety|Head Protection|Hard Hat Faceshield Mounting Accessories","Head Protection Accessories"
"Safety|Head Protection|Hard Hat Faceshields","Head Protection Accessories"
"Safety|Head Protection|Hard Hat Labels","Head Protection Accessories"
"Safety|Head Protection|Hard Hat Racks","Head Protection Accessories"
"Safety|Head Protection|Headlamps","Head Protection Accessories"
"Tools|Drills and Drivers|Air Impact Wrenches","Impact Wrenches and Accessories"
"Tools|Wrenches|Air Impact Wrenches","Impact Wrenches and Accessories"
"Tools|Drills and Drivers|Cordless Impact Wrenches","Impact Wrenches and Accessories"
"Tools|Wrenches|Cordless Impact Wrenches","Impact Wrenches and Accessories"
"Tools|Drills and Drivers|Electric Impact Wrench Accessories","Impact Wrenches and Accessories"
"Tools|Wrenches|Electric Impact Wrench Accessories","Impact Wrenches and Accessories"
"Tools|Drills and Drivers|Electric Impact Wrenches","Impact Wrenches and Accessories"
"Tools|Wrenches|Electric Impact Wrenches","Impact Wrenches and Accessories"
"Tools|Drills and Drivers|Hydraulic Impact Wrenches","Impact Wrenches and Accessories"
"Tools|Wrenches|Hydraulic Impact Wrenches","Impact Wrenches and Accessories"
"Lab Supplies|Lab Cabinets","Lab Furniture"
"Lab Supplies|Lab Furniture Accessories","Lab Furniture"
"Lab Supplies|Lab Gas Fittings","Lab Furniture"
"Lab Supplies|Lab Gas Hoses","Lab Furniture"
"Lab Supplies|Lab Gas Valves","Lab Furniture"
"Lab Supplies|Lab Service Panels","Lab Furniture"
"Lab Supplies|Lab Shelving","Lab Furniture"
"Lab Supplies|Lab Tables","Lab Furniture"
"Lab Supplies|Lab Workbenches","Lab Furniture"
"Lab Supplies|Warming Cabinets","Lab Furniture"
"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Limit / Interlock Switches","Limit and Snap Action Switches"
"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Limit Switch Accessories","Limit and Snap Action Switches"
"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Limit Switch Arms and Actuators","Limit and Snap Action Switches"
"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Limit Switch Body and Contacts","Limit and Snap Action Switches"
"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Limit Switch Heads","Limit and Snap Action Switches"
"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Limit Switch Receptacles","Limit and Snap Action Switches"
"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Safety Interlock Switches","Limit and Snap Action Switches"
"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Snap Action Switches","Limit and Snap Action Switches"
"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Wireless Limit Switch Accessories","Limit and Snap Action Switches"
"Electrical|Industrial Controls, Automation and Machine Safety|Sensor and Limit Switches and Snap Action Switches|Wireless Limit Switches","Limit and Snap Action Switches"
"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Cable Pull Switch Accessories","Machine Safety Switching"
"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Cable Pull Switches","Machine Safety Switching"
"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Door Switches","Machine Safety Switching"
"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Hazardous Location Cable Pull Switches","Machine Safety Switching"
"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Hinged Safety Interlock Switches","Machine Safety Switching"
"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Light Curtain Resource Modules and Accessories","Machine Safety Switching"
"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Light Curtains","Machine Safety Switching"
"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Magnetic Safety Interlock Switch Accessories","Machine Safety Switching"
"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Magnetically Actuated Safety Interlock Switches","Machine Safety Switching"
"Electrical|Industrial Controls, Automation and Machine Safety|Machine Safety Matting and Switching|Safety Interlock Switch Accessories","Machine Safety Switching"
"Abrasives|Abrasive Accessories|Tack Cloths","Paint and Wallpaper Tools"
"Paint, Equipment and Supplies|Paint Shields and Trim Guides","Paint and Wallpaper Tools"
"Janitorial & Facility|Paints  Equipment & Supplies|Paint & Wallpaper Tools|Paint Brush & Roller Cleaning Tools","Paint and Wallpaper Tools"
"Paint, Equipment and Supplies|Paint Strainers","Paint and Wallpaper Tools"
"Janitorial & Facility|Paints  Equipment & Supplies|Paint & Wallpaper Tools|Painting & Finishing Tools","Paint and Wallpaper Tools"
"Paint, Equipment and Supplies|Paint Tools Washing System Accessories","Paint and Wallpaper Tools"
"Paint, Equipment and Supplies|Paint Tools Washing Systems","Paint and Wallpaper Tools"
"Paint, Equipment and Supplies|Painting and Finishing Tools","Paint and Wallpaper Tools"
"Paint, Equipment and Supplies|Wallpaper Steamers","Paint and Wallpaper Tools"
"Paint, Equipment and Supplies|Wallpaper Tools","Paint and Wallpaper Tools"
"Fasteners|Clevis Pins",Pins
"Fasteners|Cotter Pins",Pins
"Fasteners|Dowel Pins",Pins
"Fasteners|Grooved Pins",Pins
"Fasteners|Hitch Pins",Pins
"Fasteners|Lynch Pins",Pins
"Fasteners|Pin Assortments",Pins
"Fasteners|Safety Pins",Pins
"Fasteners|Spring Pins",Pins
"Fasteners|Taper Pins",Pins
"Tools|Bearing Splitters","Pryers and Pullers"
"Tools|Fence Stretching Tools","Pryers and Pullers"
"Tools|Flange and Set-Up Wedges","Pryers and Pullers"
"Tools|Nail Pullers, Wrecking and Pry Bars","Pryers and Pullers"
"Tools|Puller Accessories","Pryers and Pullers"
"Tools|Puller and Separator Sets","Pryers and Pullers"
"Tools|Pullers and Separators","Pryers and Pullers"
Tools|Push-Pullers,"Pryers and Pullers"
"Tools|Shaft And Step Plate Adapters","Pryers and Pullers"
"Tools|Slide Hammers","Pryers and Pullers"
"Commercial & Industrial|Horticulture & Greenhouse|Lawn & Garden Tools","Rakes and Cultivating Tools"
"Outdoor Equipment|Agricultural and Garden Forks","Rakes and Cultivating Tools"
"Outdoor Equipment|Aquatic Weed Control Rakes","Rakes and Cultivating Tools"
"Outdoor Equipment|Cultivators and Tillers","Rakes and Cultivating Tools"
"Outdoor Equipment|Garden Hoes","Rakes and Cultivating Tools"
"Outdoor Equipment|Garden Trowels","Rakes and Cultivating Tools"
"Outdoor Equipment|Hand Cultivators","Rakes and Cultivating Tools"
"Outdoor Equipment|Landscape and Bow Rakes","Rakes and Cultivating Tools"
"Outdoor Equipment|Rakes","Rakes and Cultivating Tools"
"Outdoor Equipment|Road and Asphalt Rakes","Rakes and Cultivating Tools"
"Electrical|Power Management - Circuit Protection and Distribution|Air Conditioner Disconnects","Safety Switches, Panel and Door Disconnects"
"Electrical|Power Management - Circuit Protection and Distribution|Disconnect Switch Accessories","Safety Switches, Panel and Door Disconnects"
"Electrical|Power Management - Circuit Protection and Distribution|Disconnect Switches","Safety Switches, Panel and Door Disconnects"
"Electrical|Power Management - Circuit Protection and Distribution|Door Mount Switches","Safety Switches, Panel and Door Disconnects"
"Electrical|Power Management - Circuit Protection and Distribution|Flange Mount Safety Switches","Safety Switches, Panel and Door Disconnects"
"Electrical|Power Management - Circuit Protection and Distribution|Hazardous Location Safety and Disconnect Switches","Safety Switches, Panel and Door Disconnects"
"Electrical|Power Management - Circuit Protection and Distribution|Panel Disconnect Switches","Safety Switches, Panel and Door Disconnects"
"Electrical|Power Management - Circuit Protection and Distribution|Safety Switch Accessories","Safety Switches, Panel and Door Disconnects"
"Electrical|Power Management - Circuit Protection and Distribution|Safety Switches","Safety Switches, Panel and Door Disconnects"
"Electrical|Power Management - Circuit Protection and Distribution|Solar Safety Switches","Safety Switches, Panel and Door Disconnects"
"Power Transmission|Chain Coupling Components","Shaft Couplings, Collars, and Universal Joints"
"Power Transmission (Mechanical)|Drive Couplings|Double Loop Couplings","Shaft Couplings, Collars, and Universal Joints"
"Power Transmission|Flexible Rubber Couplings","Shaft Couplings, Collars, and Universal Joints"
"Power Transmission (Mechanical)|Drive Couplings|Servo Couplings","Shaft Couplings, Collars, and Universal Joints"
"Power Transmission|Keyed Shafts","Shaft Couplings, Collars, and Universal Joints"
"Power Transmission|Motion Control Couplings","Shaft Couplings, Collars, and Universal Joints"
"Power Transmission|Rigid Couplings","Shaft Couplings, Collars, and Universal Joints"
"Power Transmission|Shaft Adapters","Shaft Couplings, Collars, and Universal Joints"
"Power Transmission|Shaft Collars","Shaft Couplings, Collars, and Universal Joints"
"Power Transmission|Spline Shafts and Couplings","Shaft Couplings, Collars, and Universal Joints"
"Material Handling|Packaging and Shipping|Bin Liners","Shipping Supplies"
"Material Handling|Packaging and Shipping|Dunnage Bags","Shipping Supplies"
"Material Handling|Packaging and Shipping|Moisture Absorbents and Indicators","Shipping Supplies"
"Material Handling|Packaging and Shipping|Moving Blankets and Pads","Shipping Supplies"
"Material Handling|Packaging and Shipping|Packaging and Shipping Accessories","Shipping Supplies"
"Material Handling|Packaging and Shipping|Packing Table Accessories","Shipping Supplies"
"Material Handling|Packaging and Shipping|Packing Tables","Shipping Supplies"
"Material Handling|Packaging and Shipping|Pallet Covers","Shipping Supplies"
"Material Handling|Packaging and Shipping|Pallet Cushions","Shipping Supplies"
"Material Handling|Packaging and Shipping|Shipping Cold Packs","Shipping Supplies"
"Security|Two Way Radios and Police Scanners|Two Way Radio Accessories","Two Way Radio Accessories, Kits and Sets"
"Security|Two Way Radios and Police Scanners|Two Way Radio Battery Packs","Two Way Radio Accessories, Kits and Sets"
"Security|Two Way Radios and Police Scanners|Two Way Radio Carrying Cases and Belt Clips","Two Way Radio Accessories, Kits and Sets"
"Security|Two Way Radios and Police Scanners|Two Way Radio Chargers and Charging Kits","Two Way Radio Accessories, Kits and Sets"
"Security|Two Way Radios and Police Scanners|Two Way Radio Earbuds and Earpieces","Two Way Radio Accessories, Kits and Sets"
"Security|Two Way Radios and Police Scanners|Two Way Radio Headsets","Two Way Radio Accessories, Kits and Sets"
"Security|Two Way Radios and Police Scanners|Two Way Radio Microphones","Two Way Radio Accessories, Kits and Sets"
"Security|Two Way Radios and Police Scanners|Two Way Radio Surveillance Kits","Two Way Radio Accessories, Kits and Sets"
"Security|Two Way Radios and Police Scanners|Two Way Radio Wire Sets","Two Way Radio Accessories, Kits and Sets"
"Security|Two Way Radios and Police Scanners|Two Way WLAN or IP Radio Accessories","Two Way Radio Accessories, Kits and Sets"
"Electrical|Voice and Data|Ethernet Switches","Voice and Data Plates, Housings, Jacks, and Accessories"
"Electrical|Voice and Data|Fiber Optic Adapters","Voice and Data Plates, Housings, Jacks, and Accessories"
"Electrical|Voice and Data|Voice and Data Connectors","Voice and Data Plates, Housings, Jacks, and Accessories"
"Electrical|Voice and Data|Voice and Data Housings","Voice and Data Plates, Housings, Jacks, and Accessories"
"Electrical|Voice and Data|Voice and Data Jack Accessories","Voice and Data Plates, Housings, Jacks, and Accessories"
"Electrical|Voice and Data|Voice and Data Jack Boxes","Voice and Data Plates, Housings, Jacks, and Accessories"
"Electrical|Voice and Data|Voice and Data Jacks","Voice and Data Plates, Housings, Jacks, and Accessories"
"Electrical|Voice and Data|Voice and Data Outlets, Boxes, Faceplates","Voice and Data Plates, Housings, Jacks, and Accessories"
"Electrical|Voice and Data|Voice and Data Wiring Block Accessories","Voice and Data Plates, Housings, Jacks, and Accessories"
"Electrical|Voice and Data|Voice and Data Wiring Blocks","Voice and Data Plates, Housings, Jacks, and Accessories"
"Janitorial & Facility|Trash Bags & Liners|Hazardous Waste Bags","Waste Bags & Accessories"
"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Compostable Trash Bags","Waste Bags & Accessories"
"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Hazardous Waste Bags & Transport Bags","Waste Bags & Accessories"
"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Paper Trash Bags","Waste Bags & Accessories"
"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Pest- & Rodent-Repellent Trash Bags","Waste Bags & Accessories"
"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Recycled Plastic Trash Bags","Waste Bags & Accessories"
"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Reusable Trash & Litter Bags","Waste Bags & Accessories"
"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Sanitary Napkin Liners & Bags","Waste Bags & Accessories"
"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Trash & Waste Disposal Accessories","Waste Bags & Accessories"
"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Trash Bags","Waste Bags & Accessories"
