,input_category,output_category,cleaned
47,Safety & PPE Products|Fall Protection|Self Retracting Lifelines|Nano-Lokâ„¢ SRL,Self-Retracting Lifelines & Shock-Absorbing Lanyards,safeti ppe product fall protect self retract lifelin nano lok srl
48,Safety|Fire and Emergency Situation Signs,Signs,safeti fire emerg situat sign
49,Safety|Floor Signs,Signs,safeti floor sign
50,Safety|LED Traffic Signs and Signals,Signs,safeti led traffic sign signal
51,Safety|No Smoking Signs,Signs,safeti no smoke sign
52,Safety|Office and Facility Signs,Signs,safeti offic facil sign
53,Safety|Parking and Traffic Signs,Signs,safeti park traffic sign
54,Safety|Railroad Blue Flag Signs,Signs,safeti railroad blue flag sign
55,Safety|Road Construction Signs,Signs,safeti road construct sign
56,Safety|Safety Record Signs,Signs,safeti safeti record sign
57,Safety|Security Signs,Signs,safeti secur sign
58,Safety|Sign Slider Inserts,Signs,safeti sign slider insert
59,Safety|Sign Slider Message Boards,Signs,safeti sign slider messag board
