cats,desc,img,link,price,sitename,specs,unit
|Pack Inc|Tape|Water Activate,"Intertape 3 X 450' Carton Master Reinforced Tape 10 Rl/ctn, 63 Ctn/sk",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/PI%20K71029,$13.38,bhid.com,{},RL
|Safety & Security|Welding Protection|Welding Plates & Lense,"Jackson Safety 14570 Passive 427 Auto-Darkening Filter Lens, 4-1/4 in L x 2 in W, 11 Lens, Polycarbonate",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/KIMCLA%2014570,$55.35,bhid.com,"{""Brand Name"": ""Jackson Safety"", ""Series"": ""Passive 427"", ""Type"": ""Auto-Darkening"", ""Material"": ""Polycarbonate"", ""Lens Shade"": ""11"", ""Size"": ""4-1/4 in L x 2 in W""}",CA
|Raw Materials|Shims|Shim Stock,PREBRA 22640 1.25 M L 150 MM W 0.5 MM Thk Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022640,$60.53,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""1.25 M"", ""Thickness"": ""0.50 MM"", ""Width"": ""150 MM"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22635 1.25 M L 150 MM W 0.4 MM Thk Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022635,$52.49,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""1.25 M"", ""Thickness"": ""0.40 MM"", ""Width"": ""150 MM"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17SX8 60 L 6 W 0.008 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017SX8,$23.58,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""60 Inch"", ""Thickness"": ""0.008 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17SX7 60 L 6 W 0.007 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017SX7,$22.36,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""60 Inch"", ""Thickness"": ""0.007 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17SX31 60 L 6 W 0.031 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017SX31,$55.03,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""60 Inch"", ""Thickness"": ""0.031 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17SX3 60 L 6 W 0.003 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017SX3,$18.97,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""60 Inch"", ""Thickness"": ""0.003 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17SX25 60 L 6 W 0.025 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017SX25,$46.51,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""60 Inch"", ""Thickness"": ""0.025 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17SX20 60 L 6 W 0.02 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017SX20,$38.93,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""60 Inch"", ""Thickness"": ""0.020 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17SX2 60 L 6 W 0.002 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017SX2,$18.36,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""60 Inch"", ""Thickness"": ""0.002 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17SX1X 60 L 6 W 0.0015 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017SX1X,$17.82,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""60 Inch"", ""Thickness"": ""0.0015 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17SX15 60 L 6 W 0.015 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017SX15,$34.45,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""60 Inch"", ""Thickness"": ""0.015 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 17SS8 120 L 12 W 0.008 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2017SS8,$103.86,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Brass"", ""Length"": ""120 Inch"", ""Thickness"": ""0.008 Inch"", ""Width"": ""12 Inch"", ""Country Of Origin"": ""USA""}",EA
|Safety & Security|Welding Protection|Welding Plates & Lense,"Jackson Safety 23440 Element Fixed Lens Kit, 10 Lens, Clear, Polycarbonate",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/KIMCLA%2023440,$87.66,bhid.com,"{""Brand Name"": ""Jackson Safety"", ""Series"": ""Element"", ""Type"": ""Fixed"", ""Material"": ""Polycarbonate"", ""Lens Shade"": ""10"", ""Color"": ""Clear""}",CA
|Safety & Security|Welding Protection|Welding Plates & Lense,JACKSON SAFETY Welding Clear Safety Plate W60 NEXGEN Kit,https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/KIMCLA%2022606,$11.11,bhid.com,"{""Series"": ""NexGen"", ""Mounting Type"": ""Arc Welding"", ""Material"": ""Polycarbonate"", ""Includes"": ""5 Front Clear Safety Plates, 2"", ""Color"": ""Clear""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 16940 12 L 8 W 0.005 Thk Steel Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016940,,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Flat Sheet"", ""Material"": ""Steel"", ""Length"": ""12 Inch"", ""Thickness"": ""0.005 Inch"", ""Width"": ""8 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 16935 12 L 8 W 0.004 Thk Steel Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016935,$14.45,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Flat Sheet"", ""Material"": ""Steel"", ""Length"": ""12 Inch"", ""Thickness"": ""0.004 Inch"", ""Width"": ""8 Inch"", ""Country Of Origin"": ""USA""}",PK
|Raw Materials|Shims|Shim Stock,PREBRA 16930 12 L 8 W 0.003 Thk Steel Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016930,$10.51,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Flat Sheet"", ""Material"": ""Steel"", ""Length"": ""12 Inch"", ""Thickness"": ""0.003 Inch"", ""Width"": ""8 Inch"", ""Country Of Origin"": ""USA""}",PK
|Raw Materials|Shims|Shim Stock,PREBRA 16925 12 L 8 W 0.002 Thk Steel Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016925,$16.16,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Flat Sheet"", ""Material"": ""Steel"", ""Length"": ""12 Inch"", ""Thickness"": ""0.002 Inch"", ""Width"": ""8 Inch"", ""Country Of Origin"": ""USA""}",PK
|Raw Materials|Shims|Shim Stock,PREBRA 73362 24 L 20 W 0.062 Thk Steel Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2073362,$353.56,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Laminated, Sheet"", ""Material"": ""Steel"", ""Length"": ""24 Inch"", ""Thickness"": ""0.062 Inch"", ""Width"": ""20 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 73348 24 L 20 W 0.048 Thk Steel Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2073348,$288.13,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Laminated, Sheet"", ""Material"": ""Steel"", ""Length"": ""24 Inch"", ""Thickness"": ""0.048 Inch"", ""Width"": ""20 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 72425 24 L 20 W 0.125 Thk Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2072425,"$1,373.09",bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Laminated, Sheet"", ""Material"": ""Stainless Steel"", ""Length"": ""24 Inch"", ""Thickness"": ""0.125 Inch"", ""Width"": ""20 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 73394 24 L 20 W 0.094 Thk Steel Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2073394,$536.92,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Laminated, Sheet"", ""Material"": ""Steel"", ""Length"": ""24 Inch"", ""Thickness"": ""0.094 Inch"", ""Width"": ""20 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 73332 24 L 20 W 0.032 Thk Steel Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2073332,$240.98,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Laminated, Sheet"", ""Material"": ""Steel"", ""Length"": ""24 Inch"", ""Thickness"": ""0.032 Inch"", ""Width"": ""20 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 73425 24 L 20 W 0.125 Thk Steel Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2073425,$688.84,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Laminated, Sheet"", ""Material"": ""Steel"", ""Length"": ""24 Inch"", ""Thickness"": ""0.125 Inch"", ""Width"": ""20 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 72394 24 L 20 W 0.094 Thk Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2072394,"$1,042.51",bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Laminated, Sheet"", ""Material"": ""Stainless Steel"", ""Length"": ""24 Inch"", ""Thickness"": ""0.094 Inch"", ""Width"": ""20 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 72348 24 L 20 W 0.048 Thk Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2072348,$521.28,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Laminated, Sheet"", ""Material"": ""Stainless Steel"", ""Length"": ""24 Inch"", ""Thickness"": ""0.048 Inch"", ""Width"": ""20 Inch"", ""Country Of Origin"": ""USA""}",EA
|Safety & Security|Welding Protection|Welding Plates & Lense,Jackson TrueSight II Digital Variable ADF Cartridge- with Balder Technology,,https://www.bhid.com//itemdetail/KIMCLA%2046158,$407.88,bhid.com,"{""Brand Name"": ""Jackson Safety"", ""Country Of Origin"": ""Viet Nam""}",EA
|Safety & Security|Welding Protection|Welding Plates & Lense,Jackson Insight Digital Variable ADF Cartridge,,https://www.bhid.com//itemdetail/KIMCLA%2046128,$151.47,bhid.com,"{""Brand Name"": ""Jackson Safety"", ""Color"": ""Black"", ""Country Of Origin"": ""Slovenia""}",EA
|Safety & Security|Welding Protection|Welding Plates & Lense,"Jackson Safety 22606 NexGen Lens Kit, Clear, Polycarbonate",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/JACSAF%2022606,$11.11,bhid.com,"{""Brand Name"": ""Jackson Safety"", ""Series"": ""NexGen"", ""Material"": ""Polycarbonate"", ""Color"": ""Clear""}",EA
|Safety & Security|Welding Protection|Welding Plates & Lense,"Jackson Safety 14560 Passive 427 Auto-Darkening Filter Lens, 4-1/4 in L x 2 in W, 10 Lens, Polycarbonate",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/JACSAF%2014560,$2.21,bhid.com,"{""Brand Name"": ""Jackson Safety"", ""Series"": ""Passive 427"", ""Type"": ""Auto-Darkening"", ""Material"": ""Polycarbonate"", ""Lens Shade"": ""10"", ""Size"": ""4-1/4 in L x 2 in W""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22LL3 50 L 12 W 0.003 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022LL3,$58.10,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.003 Inch"", ""Width"": ""12 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22LL20 50 L 12 W 0.02 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022LL20,$89.32,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.020 Inch"", ""Width"": ""12 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22LL2 50 L 12 W 0.002 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022LL2,$58.34,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.002 Inch"", ""Width"": ""12 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22LL15 50 L 12 W 0.015 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022LL15,$82.10,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.015 Inch"", ""Width"": ""12 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22LL12 50 L 12 W 0.012 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022LL12,$81.94,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.012 Inch"", ""Width"": ""12 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22LL10 50 L 12 W 0.01 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022LL10,$78.48,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.010 Inch"", ""Width"": ""12 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22LL1 50 L 12 W 0.001 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022LL1,$92.27,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.001 Inch"", ""Width"": ""12 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22L8 50 L 6 W 0.008 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022L8,$33.25,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.008 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22L7 50 L 6 W 0.007 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022L7,$32.71,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.007 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22L6 50 L 6 W 0.006 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022L6,$31.73,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.006 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22L5 50 L 6 W 0.005 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022L5,$31.79,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.005 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22972 1.25 M L 150 MM W 0.1 MM Thk Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022972,$31.84,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""1.25 M"", ""Thickness"": ""0.10 MM"", ""Width"": ""150 MM"", ""Country Of Origin"": ""USA""}",EA
|Adhesives & Sealants|Thread & Gasket Sealants|Thread locker,"Loctite® 27743 277™ 1-Part High Strength Threadlocker, 1 L Bottle, Liquid, Red, 1.1000000000000001",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/LOC%2027743,$451.94,bhid.com,"{""Brand Name"": ""Loctite"", ""Series"": ""277"", ""Type"": ""1-Part High Strength"", ""Base Type"": ""Dimethacrylate Ester"", ""Container Type"": ""Bottle"", ""Applicable Material"": ""Metal"", ""Composition"": ""Polyglycol Dimethacrylate, Cumene Hydroperoxide, Saccharin, Cumene"", ""Curing Time"": ""24"", ""Flash Point"": "">199.94"", ""Form"": ""Liquid"", ""Odor/Scent"": ""Characteristic"", ""Setting Time"": ""60"", ""Shear Strength"": ""1300"", ""Specific Gravity"": ""1.1"", ""Temperature Rating"": ""-65 to 300"", ""Tensile Strength"": ""275"", ""Viscosity Rating"": ""7000"", ""VOC Content"": ""7.13"", ""Container Size"": ""1"", ""Color"": ""Red""}",EA
|Adhesives & Sealants|Thread & Gasket Sealants|Thread locker,"Loctite® 27270 272™ High Strength High Temperature Medium Viscosity Threadlocker, 250 mL Bottle, Liquid, Red, 1.1100000000000001",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/LOC%2027270,$157.00,bhid.com,"{""Brand Name"": ""Loctite"", ""Series"": ""272"", ""Type"": ""High Strength High Temperature Medium Viscosity"", ""Container Type"": ""Bottle"", ""Applicable Material"": ""Metal"", ""Application Time"": ""60"", ""Composition"": ""Dimethacrylate Ester, Resin, Hydroxyalkyl Methacrylate, Cumene Hydroperoxide, Silica, Amorphous, Fumed, Crystal-Free, Cumene, 1-Acetyl-2-Phenylhydrazine"", ""Curing Time"": ""24 hr at 77 deg F (Full), 30 min at 77 deg F (Fix)"", ""Flash Point"": "">199.94"", ""Form"": ""Liquid"", ""Odor/Scent"": ""Mild"", ""Shear Strength"": ""2900"", ""Specific Gravity"": ""1.11"", ""Temperature Rating"": ""-65 to 450"", ""Tensile Strength"": ""200"", ""Viscosity Rating"": ""95000"", ""VOC Content"": ""0.0019"", ""Container Size"": ""250"", ""Color"": ""Red""}",EA
|Adhesives & Sealants|Thread & Gasket Sealants|Thread locker,"Loctite® 08941 GRD AA™ 089™ High Strength Threadlocker, 250 mL Bottle, Liquid, Green, 1.08",,https://www.bhid.com//itemdetail/LOC%2008941,,bhid.com,"{""Brand Name"": ""Loctite"", ""Series"": ""GRD AA 089"", ""Type"": ""High Strength"", ""Base Type"": ""Dimethacrylate Ester"", ""Container Type"": ""Bottle"", ""Composition"": ""Polyglycol Dimethacrylate, Cumene Hydroperoxide, Cumene"", ""Curing Time"": ""72"", ""Flash Point"": "">199.94"", ""Form"": ""Liquid"", ""Odor/Scent"": ""Mild"", ""Specific Gravity"": ""1.08"", ""Tensile Strength"": ""55"", ""Viscosity Rating"": ""10 to 25"", ""VOC Content"": ""13.94"", ""Container Size"": ""250"", ""Color"": ""Green""}",EA
|Adhesives & Sealants|Thread & Gasket Sealants|Thread locker,"Loctite® 08731 GRD AV™ 087™ High Strength Threadlocker, 50 mL Bottle, Liquid, Red, 1.0680000000000001",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/LOC%2008731,$75.06,bhid.com,"{""Brand Name"": ""Loctite"", ""Series"": ""GRD AV 087"", ""Type"": ""High Strength"", ""Base Type"": ""Dimethacrylate Ester"", ""Container Type"": ""Bottle"", ""Composition"": ""Polyglycol Dimethacrylate, Cumene Hydroperoxide, Amine, Polyglycoldioctanoate, Cumene"", ""Curing Time"": ""72"", ""Flash Point"": "">199.4"", ""Form"": ""Liquid"", ""Odor/Scent"": ""Mild"", ""Specific Gravity"": ""1.068"", ""Tensile Strength"": ""60"", ""Viscosity Rating"": ""100 to 250"", ""VOC Content"": ""15.67"", ""Container Size"": ""50"", ""Color"": ""Red""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 16A8 100 L 6 W 0.008 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016A8,$12.94,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Steel"", ""Length"": ""100 Inch"", ""Thickness"": ""0.008 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 16A7 100 L 6 W 0.007 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016A7,$13.07,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Steel"", ""Length"": ""100 Inch"", ""Thickness"": ""0.007 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 16A6 100 L 6 W 0.006 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016A6,$12.51,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Steel"", ""Length"": ""100 Inch"", ""Thickness"": ""0.006 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 16A4 100 L 6 W 0.004 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016A4,$14.60,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Steel"", ""Length"": ""100 Inch"", ""Thickness"": ""0.004 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 16A3X 100 L 6 W 0.0035 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016A3X,$16.22,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Steel"", ""Length"": ""100 Inch"", ""Thickness"": ""0.0035 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 16A31 100 L 6 W 0.031 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016A31,$16.29,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Steel"", ""Length"": ""100 Inch"", ""Thickness"": ""0.031 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 16A10 100 L 6 W 0.01 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016A10,,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Steel"", ""Length"": ""100 Inch"", ""Thickness"": ""0.010 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 16980 2.5 M L 150 MM W 0.8 MM Thk Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016980,$25.16,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Steel"", ""Length"": ""2.5 M"", ""Thickness"": ""0.80 MM"", ""Width"": ""150 MM"", ""Country Of Origin"": ""USA""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 16979 2.5 M L 150 MM W 0.65 MM Thk Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016979,$22.95,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Steel"", ""Length"": ""2.5 M"", ""Thickness"": ""0.65 MM"", ""Width"": ""150 MM"", ""Country Of Origin"": ""USA""}",EA
|Adhesives & Sealants|Thread & Gasket Sealants|Thread locker,"Loctite® 25523 2432™ 1-Part Medium Strength Threadlocker, 50 mL Bottle, Liquid, Blue, 1.08",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/LOC%2025523,$117.65,bhid.com,"{""Brand Name"": ""Loctite"", ""Series"": ""2432"", ""Type"": ""1-Part Medium Strength"", ""Base Type"": ""Dimethacrylate Ester"", ""Container Type"": ""Bottle"", ""Composition"": ""Polyglycol Dimethacrylate, Polyglycoldioctanoate, Cumene Hydroperoxide, 1-Acetyl-2-Phenylhydrazine, Cumene"", ""Curing Time"": ""24"", ""Flash Point"": "">212"", ""Form"": ""Liquid"", ""Odor/Scent"": ""Characteristic"", ""Setting Time"": ""30"", ""Shear Strength"": ""870"", ""Specific Gravity"": ""1.08"", ""Temperature Rating"": ""-65 to 300"", ""Tensile Strength"": ""150"", ""Viscosity Rating"": ""300"", ""VOC Content"": ""3.65"", ""Container Size"": ""50"", ""Color"": ""Blue""}",EA
